set,middle,pangrams,word_count,total_points
rcusbed,r,['scrubbed'],113,590
rcusbed,c,['scrubbed'],84,481
rcusbed,u,['scrubbed'],116,554
rcusbed,s,['scrubbed'],123,619
rcusbed,b,['scrubbed'],50,237
rcusbed,e,['scrubbed'],155,803
rcusbed,d,['scrubbed'],110,582
okigled,o,['godlike'],37,165
okigled,k,['godlike'],16,63
okigled,i,['godlike'],33,144
okigled,g,['godlike'],36,172
okigled,l,['godlike'],55,221
okigled,e,['godlike'],56,254
okigled,d,['godlike'],53,227
ogptane,o,['pentagon'],52,205
ogptane,g,['pentagon'],44,181
ogptane,p,['pentagon'],45,182
ogptane,t,['pentagon'],76,326
ogptane,a,['pentagon'],74,318
ogptane,n,['pentagon'],78,335
ogptane,e,['pentagon'],81,343
ritlaed,r,"['alliterated', 'retailed', 'retaliated', 'trailed']",217,1222
ritlaed,i,"['alliterated', 'retailed', 'retaliated', 'trailed']",172,943
ritlaed,t,"['alliterated', 'retailed', 'retaliated', 'trailed']",183,1052
ritlaed,l,"['alliterated', 'retailed', 'retaliated', 'trailed']",161,874
ritlaed,a,"['alliterated', 'retailed', 'retaliated', 'trailed']",201,1087
ritlaed,e,"['alliterated', 'retailed', 'retaliated', 'trailed']",264,1456
ritlaed,d,"['alliterated', 'retailed', 'retaliated', 'trailed']",190,1048
zcoiane,z,['canonize'],9,38
zcoiane,c,['canonize'],32,147
zcoiane,o,['canonize'],30,129
zcoiane,i,['canonize'],24,110
zcoiane,a,['canonize'],26,119
zcoiane,n,['canonize'],44,171
zcoiane,e,['canonize'],26,111
riptbae,r,['bipartite'],133,638
riptbae,i,['bipartite'],72,364
riptbae,p,['bipartite'],70,318
riptbae,t,['bipartite'],106,503
riptbae,b,['bipartite'],59,253
riptbae,a,['bipartite'],110,503
riptbae,e,['bipartite'],136,632
rigbned,r,"['breeding', 'inbreeding']",141,813
rigbned,i,"['breeding', 'inbreeding']",156,891
rigbned,g,"['breeding', 'inbreeding']",117,733
rigbned,b,"['breeding', 'inbreeding']",73,400
rigbned,n,"['breeding', 'inbreeding']",127,766
rigbned,e,"['breeding', 'inbreeding']",168,928
rigbned,d,"['breeding', 'inbreeding']",132,751
wigstan,w,"['swatting', 'wasting']",75,385
wigstan,i,"['swatting', 'wasting']",166,964
wigstan,g,"['swatting', 'wasting']",128,739
wigstan,s,"['swatting', 'wasting']",136,714
wigstan,t,"['swatting', 'wasting']",124,691
wigstan,a,"['swatting', 'wasting']",142,760
wigstan,n,"['swatting', 'wasting']",165,954
roiglbn,r,['broiling'],38,190
roiglbn,o,['broiling'],73,345
roiglbn,i,['broiling'],75,419
roiglbn,g,['broiling'],70,391
roiglbn,l,['broiling'],42,218
roiglbn,b,['broiling'],47,241
roiglbn,n,['broiling'],74,415
coislta,c,"['coattails', 'socialist', 'socialistic', 'socialists', 'stoical', 'totalistic']",106,630
coislta,o,"['coattails', 'socialist', 'socialistic', 'socialists', 'stoical', 'totalistic']",114,559
coislta,i,"['coattails', 'socialist', 'socialistic', 'socialists', 'stoical', 'totalistic']",108,606
coislta,s,"['coattails', 'socialist', 'socialistic', 'socialists', 'stoical', 'totalistic']",160,826
coislta,l,"['coattails', 'socialist', 'socialistic', 'socialists', 'stoical', 'totalistic']",140,677
coislta,t,"['coattails', 'socialist', 'socialistic', 'socialists', 'stoical', 'totalistic']",144,716
coislta,a,"['coattails', 'socialist', 'socialistic', 'socialists', 'stoical', 'totalistic']",128,698
mroisah,m,['hiroshima'],67,272
mroisah,r,['hiroshima'],53,214
mroisah,o,['hiroshima'],43,185
mroisah,i,['hiroshima'],47,204
mroisah,s,['hiroshima'],77,304
mroisah,a,['hiroshima'],74,295
mroisah,h,['hiroshima'],37,143
mroufla,m,['formula'],38,143
mroufla,r,['formula'],44,170
mroufla,o,['formula'],47,169
mroufla,u,['formula'],31,122
mroufla,f,['formula'],35,121
mroufla,l,['formula'],48,185
mroufla,a,['formula'],46,181
coufsed,c,"['defocus', 'focused', 'focussed']",56,334
coufsed,o,"['defocus', 'focused', 'focussed']",44,226
coufsed,u,"['defocus', 'focused', 'focussed']",68,360
coufsed,f,"['defocus', 'focused', 'focussed']",45,247
coufsed,s,"['defocus', 'focused', 'focussed']",89,449
coufsed,e,"['defocus', 'focused', 'focussed']",92,474
coufsed,d,"['defocus', 'focused', 'focussed']",82,394
rogvsne,r,"['governess', 'governesses', 'governors', 'governs']",121,701
rogvsne,o,"['governess', 'governesses', 'governors', 'governs']",91,451
rogvsne,g,"['governess', 'governesses', 'governors', 'governs']",68,402
rogvsne,v,"['governess', 'governesses', 'governors', 'governs']",66,424
rogvsne,s,"['governess', 'governesses', 'governors', 'governs']",120,680
rogvsne,n,"['governess', 'governesses', 'governors', 'governs']",80,457
rogvsne,e,"['governess', 'governesses', 'governors', 'governs']",153,818
cplstae,c,"['placates', 'spectacle', 'spectacles']",96,540
cplstae,p,"['placates', 'spectacle', 'spectacles']",160,796
cplstae,l,"['placates', 'spectacle', 'spectacles']",194,1007
cplstae,s,"['placates', 'spectacle', 'spectacles']",254,1284
cplstae,t,"['placates', 'spectacle', 'spectacles']",184,945
cplstae,a,"['placates', 'spectacle', 'spectacles']",245,1221
cplstae,e,"['placates', 'spectacle', 'spectacles']",267,1351
mrofste,m,['foremost'],84,398
mrofste,r,['foremost'],178,951
mrofste,o,['foremost'],164,830
mrofste,f,['foremost'],69,372
mrofste,s,['foremost'],175,931
mrofste,t,['foremost'],171,904
mrofste,e,['foremost'],200,1032
mrylane,m,['mannerly'],50,206
mrylane,r,['mannerly'],58,241
mrylane,y,['mannerly'],51,222
mrylane,l,['mannerly'],57,230
mrylane,a,['mannerly'],92,347
mrylane,n,['mannerly'],49,195
mrylane,e,['mannerly'],75,282
rofsled,r,['folders'],147,776
rofsled,o,['folders'],149,693
rofsled,f,['folders'],76,362
rofsled,s,['folders'],143,693
rofsled,l,['folders'],120,570
rofsled,e,['folders'],193,942
rofsled,d,['folders'],137,696
jcuilad,j,['judicial'],6,29
jcuilad,c,['judicial'],15,76
jcuilad,u,['judicial'],14,49
jcuilad,i,['judicial'],18,79
jcuilad,l,['judicial'],23,73
jcuilad,a,['judicial'],21,82
jcuilad,d,['judicial'],19,70
oiyslhd,o,['shoddily'],46,150
oiyslhd,i,['shoddily'],37,131
oiyslhd,y,['shoddily'],23,107
oiyslhd,s,['shoddily'],47,170
oiyslhd,l,['shoddily'],49,168
oiyslhd,h,['shoddily'],22,85
oiyslhd,d,['shoddily'],36,127
rcypahe,r,['preachy'],82,365
rcypahe,c,['preachy'],52,249
rcypahe,y,['preachy'],35,168
rcypahe,p,['preachy'],65,293
rcypahe,a,['preachy'],80,339
rcypahe,h,['preachy'],40,180
rcypahe,e,['preachy'],86,374
rxiyted,r,['dexterity'],53,260
rxiyted,x,['dexterity'],12,55
rxiyted,i,['dexterity'],53,229
rxiyted,y,['dexterity'],16,63
rxiyted,t,['dexterity'],48,230
rxiyted,e,['dexterity'],71,306
rxiyted,d,['dexterity'],54,250
wrigane,w,"['wagering', 'wagnerian', 'wearing']",58,301
wrigane,r,"['wagering', 'wagnerian', 'wearing']",133,754
wrigane,i,"['wagering', 'wagnerian', 'wearing']",114,695
wrigane,g,"['wagering', 'wagnerian', 'wearing']",124,778
wrigane,a,"['wagering', 'wagnerian', 'wearing']",117,655
wrigane,n,"['wagering', 'wagnerian', 'wearing']",139,815
wrigane,e,"['wagering', 'wagnerian', 'wearing']",122,659
rcoived,r,"['divorce', 'divorced', 'divorcee']",112,631
rcoived,c,"['divorce', 'divorced', 'divorcee']",67,389
rcoived,o,"['divorce', 'divorced', 'divorcee']",76,425
rcoived,i,"['divorce', 'divorced', 'divorcee']",76,427
rcoived,v,"['divorce', 'divorced', 'divorcee']",69,407
rcoived,e,"['divorce', 'divorced', 'divorcee']",139,745
rcoived,d,"['divorce', 'divorced', 'divorcee']",119,654
jcyaned,j,['adjacency'],6,29
jcyaned,c,['adjacency'],30,168
jcyaned,y,['adjacency'],22,107
jcyaned,a,['adjacency'],48,223
jcyaned,n,['adjacency'],43,195
jcyaned,e,['adjacency'],47,199
jcyaned,d,['adjacency'],48,219
cnilahe,c,['chilean'],66,326
cnilahe,n,['chilean'],71,324
cnilahe,i,['chilean'],61,296
cnilahe,l,['chilean'],72,317
cnilahe,a,['chilean'],68,300
cnilahe,h,['chilean'],45,217
cnilahe,e,['chilean'],71,314
ruyglae,r,['regularly'],73,336
ruyglae,u,['regularly'],37,162
ruyglae,y,['regularly'],44,210
ruyglae,g,['regularly'],62,290
ruyglae,l,['regularly'],79,345
ruyglae,a,['regularly'],80,366
ruyglae,e,['regularly'],83,360
cuigtnd,c,['inducting'],15,96
cuigtnd,u,['inducting'],21,119
cuigtnd,i,['inducting'],35,219
cuigtnd,g,['inducting'],29,195
cuigtnd,t,['inducting'],24,134
cuigtnd,n,['inducting'],37,221
cuigtnd,d,['inducting'],20,119
rifglan,r,"['flaring', 'raffling']",59,323
rifglan,i,"['flaring', 'raffling']",99,551
rifglan,f,"['flaring', 'raffling']",43,241
rifglan,g,"['flaring', 'raffling']",78,477
rifglan,l,"['flaring', 'raffling']",61,308
rifglan,a,"['flaring', 'raffling']",88,433
rifglan,n,"['flaring', 'raffling']",85,506
routlad,r,['adulator'],48,169
routlad,o,['adulator'],57,168
routlad,u,['adulator'],31,102
routlad,t,['adulator'],47,145
routlad,l,['adulator'],39,120
routlad,a,['adulator'],44,156
routlad,d,['adulator'],37,105
mopsted,m,"['deepmost', 'stomped']",90,413
mopsted,o,"['deepmost', 'stomped']",148,624
mopsted,p,"['deepmost', 'stomped']",115,533
mopsted,s,"['deepmost', 'stomped']",163,758
mopsted,t,"['deepmost', 'stomped']",127,599
mopsted,e,"['deepmost', 'stomped']",188,871
mopsted,d,"['deepmost', 'stomped']",105,519
rcutaqe,r,['racquet'],74,369
rcutaqe,c,['racquet'],47,247
rcutaqe,u,['racquet'],35,164
rcutaqe,t,['racquet'],65,335
rcutaqe,a,['racquet'],65,324
rcutaqe,q,['racquet'],11,63
rcutaqe,e,['racquet'],72,358
rotlane,r,['tolerant'],137,697
rotlane,o,['tolerant'],96,415
rotlane,t,['tolerant'],156,781
rotlane,l,['tolerant'],101,477
rotlane,a,['tolerant'],140,695
rotlane,n,['tolerant'],115,545
rotlane,e,['tolerant'],164,798
uvpaned,u,['unpaved'],22,127
uvpaned,v,['unpaved'],22,95
uvpaned,p,['unpaved'],38,184
uvpaned,a,['unpaved'],39,158
uvpaned,n,['unpaved'],56,267
uvpaned,e,['unpaved'],78,338
uvpaned,d,['unpaved'],62,304
rcgtane,r,['arctangent'],141,785
rcgtane,c,['arctangent'],65,359
rcgtane,g,['arctangent'],69,381
rcgtane,t,['arctangent'],128,704
rcgtane,a,['arctangent'],159,836
rcgtane,n,['arctangent'],111,605
rcgtane,e,['arctangent'],164,880
wslahed,w,['headwalls'],82,404
wslahed,s,['headwalls'],148,697
wslahed,l,['headwalls'],130,629
wslahed,a,['headwalls'],136,636
wslahed,h,['headwalls'],81,402
wslahed,e,['headwalls'],178,851
wslahed,d,['headwalls'],111,563
mroglne,m,['mongrel'],31,111
mroglne,r,['mongrel'],47,188
mroglne,o,['mongrel'],66,217
mroglne,g,['mongrel'],36,144
mroglne,l,['mongrel'],34,118
mroglne,n,['mongrel'],41,150
mroglne,e,['mongrel'],57,211
conyvah,c,['anchovy'],20,105
conyvah,o,['anchovy'],22,87
conyvah,n,['anchovy'],27,118
conyvah,y,['anchovy'],15,69
conyvah,v,['anchovy'],8,41
conyvah,a,['anchovy'],28,121
conyvah,h,['anchovy'],12,64
ifsltan,i,"['finalist', 'finalists']",142,691
ifsltan,f,"['finalist', 'finalists']",55,253
ifsltan,s,"['finalist', 'finalists']",133,672
ifsltan,l,"['finalist', 'finalists']",105,492
ifsltan,t,"['finalist', 'finalists']",130,644
ifsltan,a,"['finalist', 'finalists']",128,648
ifsltan,n,"['finalist', 'finalists']",98,534
woiglan,w,"['allowing', 'wallowing']",42,217
woiglan,o,"['allowing', 'wallowing']",55,256
woiglan,i,"['allowing', 'wallowing']",73,424
woiglan,g,"['allowing', 'wallowing']",85,478
woiglan,l,"['allowing', 'wallowing']",69,342
woiglan,a,"['allowing', 'wallowing']",66,324
woiglan,n,"['allowing', 'wallowing']",89,473
igvsane,i,"['envisage', 'envisages', 'envisaging']",112,649
igvsane,g,"['envisage', 'envisages', 'envisaging']",108,615
igvsane,v,"['envisage', 'envisages', 'envisaging']",66,356
igvsane,s,"['envisage', 'envisages', 'envisaging']",134,718
igvsane,a,"['envisage', 'envisages', 'envisaging']",115,603
igvsane,n,"['envisage', 'envisages', 'envisaging']",135,751
igvsane,e,"['envisage', 'envisages', 'envisaging']",121,637
ngtlhed,n,['lengthened'],34,160
ngtlhed,g,['lengthened'],19,97
ngtlhed,t,['lengthened'],31,153
ngtlhed,l,['lengthened'],30,138
ngtlhed,h,['lengthened'],18,90
ngtlhed,e,['lengthened'],60,251
ngtlhed,d,['lengthened'],33,153
ruytsla,r,['salutary'],67,323
ruytsla,u,['salutary'],54,259
ruytsla,y,['salutary'],53,265
ruytsla,t,['salutary'],80,377
ruytsla,s,['salutary'],91,416
ruytsla,l,['salutary'],64,295
ruytsla,a,['salutary'],86,389
rgstand,r,"['grandstand', 'grandstands']",42,196
rgstand,g,"['grandstand', 'grandstands']",33,131
rgstand,s,"['grandstand', 'grandstands']",55,243
rgstand,t,"['grandstand', 'grandstands']",48,222
rgstand,a,"['grandstand', 'grandstands']",77,296
rgstand,n,"['grandstand', 'grandstands']",44,206
rgstand,d,"['grandstand', 'grandstands']",26,129
rislane,r,"['airliners', 'airlines', 'nailers', 'rainless']",161,836
rislane,i,"['airliners', 'airlines', 'nailers', 'rainless']",159,797
rislane,s,"['airliners', 'airlines', 'nailers', 'rainless']",224,1192
rislane,l,"['airliners', 'airlines', 'nailers', 'rainless']",165,845
rislane,a,"['airliners', 'airlines', 'nailers', 'rainless']",192,977
rislane,n,"['airliners', 'airlines', 'nailers', 'rainless']",138,757
rislane,e,"['airliners', 'airlines', 'nailers', 'rainless']",237,1232
riftled,r,"['filtered', 'flirted', 'trifled']",132,740
riftled,i,"['filtered', 'flirted', 'trifled']",147,763
riftled,f,"['filtered', 'flirted', 'trifled']",103,540
riftled,t,"['filtered', 'flirted', 'trifled']",111,584
riftled,l,"['filtered', 'flirted', 'trifled']",107,552
riftled,e,"['filtered', 'flirted', 'trifled']",194,990
riftled,d,"['filtered', 'flirted', 'trifled']",121,692
mrouyta,m,['mortuary'],43,191
mrouyta,r,['mortuary'],55,209
mrouyta,o,['mortuary'],53,205
mrouyta,u,['mortuary'],24,106
mrouyta,y,['mortuary'],30,136
mrouyta,t,['mortuary'],50,187
mrouyta,a,['mortuary'],48,205
roupste,r,"['posture', 'postures', 'preposterous', 'supporter', 'supporters', 'troupes']",327,1960
roupste,o,"['posture', 'postures', 'preposterous', 'supporter', 'supporters', 'troupes']",260,1487
roupste,u,"['posture', 'postures', 'preposterous', 'supporter', 'supporters', 'troupes']",199,1166
roupste,p,"['posture', 'postures', 'preposterous', 'supporter', 'supporters', 'troupes']",260,1521
roupste,s,"['posture', 'postures', 'preposterous', 'supporter', 'supporters', 'troupes']",353,2030
roupste,t,"['posture', 'postures', 'preposterous', 'supporter', 'supporters', 'troupes']",278,1573
roupste,e,"['posture', 'postures', 'preposterous', 'supporter', 'supporters', 'troupes']",329,1953
rouigln,r,['unrolling'],36,186
rouigln,o,['unrolling'],42,198
rouigln,u,['unrolling'],29,148
rouigln,i,['unrolling'],58,340
rouigln,g,['unrolling'],61,336
rouigln,l,['unrolling'],41,197
rouigln,n,['unrolling'],62,332
uksaned,u,['unasked'],63,293
uksaned,k,['unasked'],45,202
uksaned,s,['unasked'],114,521
uksaned,a,['unasked'],77,383
uksaned,n,['unasked'],109,552
uksaned,e,['unasked'],126,601
uksaned,d,['unasked'],98,468
itlaned,i,"['alienated', 'dateline', 'datelined', 'delineate', 'delineated', 'dilettante', 'entailed', 'initialed', 'tideland']",146,819
itlaned,t,"['alienated', 'dateline', 'datelined', 'delineate', 'delineated', 'dilettante', 'entailed', 'initialed', 'tideland']",153,894
itlaned,l,"['alienated', 'dateline', 'datelined', 'delineate', 'delineated', 'dilettante', 'entailed', 'initialed', 'tideland']",142,768
itlaned,a,"['alienated', 'dateline', 'datelined', 'delineate', 'delineated', 'dilettante', 'entailed', 'initialed', 'tideland']",162,906
itlaned,n,"['alienated', 'dateline', 'datelined', 'delineate', 'delineated', 'dilettante', 'entailed', 'initialed', 'tideland']",165,940
itlaned,e,"['alienated', 'dateline', 'datelined', 'delineate', 'delineated', 'dilettante', 'entailed', 'initialed', 'tideland']",207,1122
itlaned,d,"['alienated', 'dateline', 'datelined', 'delineate', 'delineated', 'dilettante', 'entailed', 'initialed', 'tideland']",155,886
cyglaed,c,['delegacy'],28,124
cyglaed,y,['delegacy'],33,153
cyglaed,g,['delegacy'],41,186
cyglaed,l,['delegacy'],61,246
cyglaed,a,['delegacy'],70,297
cyglaed,e,['delegacy'],78,323
cyglaed,d,['delegacy'],60,264
cslbahe,c,"['bleaches', 'cashable']",61,332
cslbahe,s,"['bleaches', 'cashable']",137,680
cslbahe,l,"['bleaches', 'cashable']",107,494
cslbahe,b,"['bleaches', 'cashable']",78,382
cslbahe,a,"['bleaches', 'cashable']",133,606
cslbahe,h,"['bleaches', 'cashable']",60,297
cslbahe,e,"['bleaches', 'cashable']",136,655
rgpsaed,r,"['grasped', 'presaged']",234,1379
rgpsaed,g,"['grasped', 'presaged']",116,642
rgpsaed,p,"['grasped', 'presaged']",146,775
rgpsaed,s,"['grasped', 'presaged']",217,1214
rgpsaed,a,"['grasped', 'presaged']",242,1305
rgpsaed,e,"['grasped', 'presaged']",302,1679
rgpsaed,d,"['grasped', 'presaged']",173,1044
roufpse,r,['profuse'],175,964
roufpse,o,['profuse'],115,631
roufpse,u,['profuse'],105,548
roufpse,f,['profuse'],61,320
roufpse,p,['profuse'],148,837
roufpse,s,['profuse'],186,1015
roufpse,e,['profuse'],184,1037
uigslne,u,['ugliness'],74,387
uigslne,i,['ugliness'],121,696
uigslne,g,['ugliness'],112,636
uigslne,s,['ugliness'],150,803
uigslne,l,['ugliness'],109,578
uigslne,n,['ugliness'],130,751
uigslne,e,['ugliness'],132,730
rusltne,r,"['trustlessness', 'tunnelers']",177,1029
rusltne,u,"['trustlessness', 'tunnelers']",148,794
rusltne,s,"['trustlessness', 'tunnelers']",228,1273
rusltne,l,"['trustlessness', 'tunnelers']",106,618
rusltne,t,"['trustlessness', 'tunnelers']",196,1119
rusltne,n,"['trustlessness', 'tunnelers']",131,769
rusltne,e,"['trustlessness', 'tunnelers']",252,1406
rutlned,r,"['trundle', 'trundled', 'unlettered']",102,604
rutlned,u,"['trundle', 'trundled', 'unlettered']",92,526
rutlned,t,"['trundle', 'trundled', 'unlettered']",93,566
rutlned,l,"['trundle', 'trundled', 'unlettered']",58,313
rutlned,n,"['trundle', 'trundled', 'unlettered']",104,636
rutlned,e,"['trundle', 'trundled', 'unlettered']",160,890
rutlned,d,"['trundle', 'trundled', 'unlettered']",110,672
rnfshed,r,"['freshened', 'refreshened']",98,609
rnfshed,n,"['freshened', 'refreshened']",62,384
rnfshed,f,"['freshened', 'refreshened']",55,359
rnfshed,s,"['freshened', 'refreshened']",97,577
rnfshed,h,"['freshened', 'refreshened']",39,265
rnfshed,e,"['freshened', 'refreshened']",140,768
rnfshed,d,"['freshened', 'refreshened']",89,506
outqned,o,['unquoted'],42,171
outqned,u,['unquoted'],35,178
outqned,t,['unquoted'],49,218
outqned,q,['unquoted'],7,49
outqned,n,['unquoted'],55,250
outqned,e,['unquoted'],68,313
outqned,d,['unquoted'],55,267
couisad,c,['audacious'],29,155
couisad,o,['audacious'],20,103
couisad,u,['audacious'],15,81
couisad,i,['audacious'],30,154
couisad,s,['audacious'],41,174
couisad,a,['audacious'],30,129
couisad,d,['audacious'],36,141
rkybaed,r,['daybreak'],88,385
rkybaed,k,['daybreak'],29,133
rkybaed,y,['daybreak'],29,119
rkybaed,b,['daybreak'],60,262
rkybaed,a,['daybreak'],89,375
rkybaed,e,['daybreak'],97,415
rkybaed,d,['daybreak'],75,324
zitlane,z,"['initialize', 'tantalize']",8,59
zitlane,i,"['initialize', 'tantalize']",62,303
zitlane,t,"['initialize', 'tantalize']",77,373
zitlane,l,"['initialize', 'tantalize']",69,301
zitlane,a,"['initialize', 'tantalize']",72,339
zitlane,n,"['initialize', 'tantalize']",80,384
zitlane,e,"['initialize', 'tantalize']",74,341
untahed,u,"['haunted', 'unhaunted', 'unheated']",53,332
untahed,n,"['haunted', 'unhaunted', 'unheated']",100,577
untahed,t,"['haunted', 'unhaunted', 'unheated']",94,521
untahed,a,"['haunted', 'unhaunted', 'unheated']",88,494
untahed,h,"['haunted', 'unhaunted', 'unheated']",43,225
untahed,e,"['haunted', 'unhaunted', 'unheated']",116,641
untahed,d,"['haunted', 'unhaunted', 'unheated']",88,515
zristae,z,['satirizes'],19,86
zristae,r,['satirizes'],205,1109
zristae,i,['satirizes'],115,626
zristae,s,['satirizes'],220,1172
zristae,t,['satirizes'],193,1068
zristae,a,['satirizes'],173,946
zristae,e,['satirizes'],224,1195
rcuiytd,r,['crudity'],15,72
rcuiytd,c,['crudity'],11,52
rcuiytd,u,['crudity'],14,57
rcuiytd,i,['crudity'],12,61
rcuiytd,y,['crudity'],10,51
rcuiytd,t,['crudity'],15,64
rcuiytd,d,['crudity'],11,40
coitlan,c,"['allocation', 'coalition', 'collation', 'collocation', 'conciliation', 'cottontail', 'inclination', 'lactation', 'location']",102,670
coitlan,o,"['allocation', 'coalition', 'collation', 'collocation', 'conciliation', 'cottontail', 'inclination', 'lactation', 'location']",107,659
coitlan,i,"['allocation', 'coalition', 'collation', 'collocation', 'conciliation', 'cottontail', 'inclination', 'lactation', 'location']",113,743
coitlan,t,"['allocation', 'coalition', 'collation', 'collocation', 'conciliation', 'cottontail', 'inclination', 'lactation', 'location']",121,749
coitlan,l,"['allocation', 'coalition', 'collation', 'collocation', 'conciliation', 'cottontail', 'inclination', 'lactation', 'location']",93,534
coitlan,a,"['allocation', 'coalition', 'collation', 'collocation', 'conciliation', 'cottontail', 'inclination', 'lactation', 'location']",130,808
coitlan,n,"['allocation', 'coalition', 'collation', 'collocation', 'conciliation', 'cottontail', 'inclination', 'lactation', 'location']",123,790
rciytad,r,['acridity'],44,187
rciytad,c,['acridity'],34,178
rciytad,i,['acridity'],38,180
rciytad,y,['acridity'],25,108
rciytad,t,['acridity'],42,194
rciytad,a,['acridity'],60,258
rciytad,d,['acridity'],33,141
mrigslt,m,['gristmill'],19,63
mrigslt,r,['gristmill'],20,78
mrigslt,i,['gristmill'],61,194
mrigslt,g,['gristmill'],16,61
mrigslt,s,['gristmill'],44,161
mrigslt,l,['gristmill'],38,146
mrigslt,t,['gristmill'],37,137
